name,line,dialogue_clean
House, See that? They all assume I'm a Patient because of this cane.,see assume patient cane
House, I don't want them to think I'm a doctor.,want think doctor
House, People don't want a sick doctor.,people want sick doctor
House," The one who can't talk, I liked that part.",one talk liked part
House," And your cousin doesn't like the diagnosis. I wouldn't either. Brain tumor, she's gonna die, boring.",cousin like diagnosis either brain tumor gonna die boring
House, You're the oncologist; I'm just a lowly infectious disease guy.,oncologist lowly infectious disease guy
House, She's 29. WhatEver she's got is highly unlikely.,whatever got highly unlikely
House, That's an HMO lab; you might as well have sent it to a high school kid with a chemistry set.,hmo lab might well sent high school kid chemistry set
House, I thought your uncle died of cancer.,thought uncle died cancer
House, That you know of.,know
House, None of which is Even close to dispositive. All it does is raise one question. Your cousin goes to an HMO?,none even close dispositive raise one question cousin goes hmo
House, And the big green thing in the middle of the bigger blue thing on a map is an island. I was hoping for something a bit more creative.,big green thing middle bigger blue thing map island hoping something bit creative
House, Is she a doctor?,doctor
House, Everybody lies.,everybody lies
House," No, treating illnesses is why we became doctors, treating Patients is what makes most doctors miserable.",treating illnesses became doctors treating patients makes doctors miserable
House," If we don't talk to them they can't lie to us, and we can't lie to them. HuManity is overrated. I don't think it's a tumor.",talk lie us lie humanity overrated think tumor
House," Are you in first year of medical school? No. First of all, there's nothing on the CAT scan. Second of all, if this is a horse then the kindly family doctor in Trenton makes the obvious diagnosis and it nEver gets near this office. Differential diagnosis, people: if it's not a tumor what are the suspects? Why couldn't she talk?",first year medical school first nothing cat scan second horse kindly family doctor trenton makes obvious diagnosis never gets near office differential diagnosis people tumor suspects talk
House, Get her a contrast MRI.,get contrast mri
House, Mad zebra.,mad zebra
House," No, blood thiamine lEvel was normal.",blood thiamine level normal
House, Re-draw the blood tests. And get her scheduled for that contrast MRI ASAP. Let's find out what kind of zebra we're dealing with here.,draw blood tests get scheduled contrast mri asap let find kind zebra dealing
House," Really? Well, that's odd, because I had no intention of being in your office 20 minutes ago.",really well odd intention office minutes ago
House," No, just that I can't think of anything that I'd be interested in.",think anything interested
House," I have tenure. Are you going to grab my cane now, stop me from leaving?",tenure going grab cane stop leaving
House, I'm here from 9 to 5.,
House, Rough year.,rough year
House, I call back. Sometimes I misdial.,call back sometimes misdial
House," See, I was right, this doesn't interest me.",see right interest
House, It's 5:00. I'm going home.,going home
House, Nice.,nice
House," Excellent, we have a point of agreement. You aren't going to fire me.",excellent point agreement going fire
House," Well, like the philosopher Jagger once said, ""You can't always get what you want.""ù",well like philosopher jagger said always get want ù
House, You pulled my authorization.,pulled authorization
House," No MRIs, no imaging studies, no labs.",mris imaging studies labs
House, If you're gonna fire me at least have the guts to face me.,gonna fire least guts face
House, I'm ANGRY! You're risking a Patient's life.,angry risking patient life
House," You showed me disrespect, you embarrassed me and as long as I'm still work here you have![interrupted]",showed disrespect embarrassed long still work
House," So, because you want me to treat Patients, you aren't letting me treat Patients.",want treat patients letting treat patients
House," Do the MRI, she folded. [Ducklings leave, House turns to Wilson] I've gotta do four hours a week in this clinic until I make up the time I've missed. 2054. I'll be caught up in 2054. [He walks into the clinic] You better love this cousin a whole lot.",mri folded gotta four hours week clinic make time missed caught better love cousin whole lot
House," Told you, can't trust people.",told trust people
House," Can't get a picture, gonna have to get a thousand words.",get picture gonna get thousand words
House, We need to know if there's some genetic or environmental causes triggering an inflammatory response.,need know genetic environmental causes triggering inflammatory response
House, Truth begins in lies. Think about it.,truth begins lies think
House," 12:52 PM Dr. House checks in, please write that down. Do you have cable TV here somewhere? General Hospital starts in 8 minutes.",pm dr house checks please write cable tv somewhere general hospital starts minutes
House, Can't you give out the aspirin yourself? I'll do paperwork.,give aspirin paperwork
House," Cough just won't go away, runny nose looks a funny color.",cough go away runny nose looks funny color
House, I think I read about something like that in the New England Journal of Medicine.,think read something like new england journal medicine
House, The color?,color
House, You mean yellow; it's jaundice.,mean yellow jaundice
House," Well, how orange?",well orange
House, Painkillers.,painkillers
House," No, 'cause they're yummy. You want one? It'll make your back feel better.",cause yummy want one make back feel better
House," Unfortunately, you have a deeper pRoblem. Your wife is having an affair.",unfortunately deeper problem wife affair
House," You're orange, you moron! It's one thing for you not to notice, but if your wife hasn't picked up on the fact that her husband has changed color, she's just not paying attention. By the way, do you consume just a ridiculous amount of carrots and mega-dose vitamins?",orange moron one thing notice wife picked fact husband changed color paying attention way consume ridiculous amount carrots mega dose vitamins
House," The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer.",carrots turn yellow niacin turns red get finger paints math get good lawyer
House, Deep breath.,deep breath
House, Has he been using his inhaler?,using inhaler
House," Your doctor pRobably was concerned about the strength of the medicine, too. She pRobably weighed that danger against the danger of not breathing. Oxygen is so important during those prepubescent years, don't you think? Ok, I'm gonna assume that no body's Ever told you what asthma is, or if they have, you had other things on your mind. A stimulant triggers cells in your Parkld's airways to release substances that inflame the air passages and cause them to contract. Mucus production increases, cell-lining starts to shed. But the steroids, the steroids!stop the inflammation. The more often this happens![trails off and starts to leave the room]",doctor probably concerned strength medicine probably weighed danger danger breathing oxygen important prepubescent years think ok gonna assume body ever told asthma things mind stimulant triggers cells parkld airways release substances inflame air passages cause contract mucus production increases cell lining starts shed steroids steroids stop inflammation often happens
House," Forget it. If you don't trust steroids, you shouldn't trust doctors.",forget trust steroids trust doctors
House," Steroids. Give her steroids, high doses of prednisone.",steroids give steroids high doses prednisone
House, So is a tumor. Her SED rate was elevated.,tumor sed rate elevated
House," Yeah, I know. I have no reason to think that it's vasculitus except that it could be.",yeah know reason think vasculitus except could
House," Yes, we can, we treat it. If she gets better we know that we're right.",yes treat gets better know right
House, We learn something else.,learn something else
House, It's not the parrot.,parrot
House, How Many kids were there in the class?,many kids class
House, How Many are home sick?,many home sick
House," None, but you think that 5 year olds are more serious about bird hygiene than their teacher. You've been through her home?",none think year olds serious bird hygiene teacher home
House, Would the police call for permission before dropping by to check out a crime scene?,would police call permission dropping check crime scene
House, Far as I know she's running a Meth Lab out of her basement.,far know running meth lab basement
